frame,ball_x,ball_y,ball_available,ball_zone,possession_player,possession_team,possessor_x,possessor_y,possessor_team,possessor_zone,event_type,previous_possession_player,previous_possession_team,possession_change,team_change,team_a_possession,team_b_possession,pass_event,pass_from_player,pass_to_player,pass_from_team,pass_to_team,pass_confidence
0,34.2,37.8,true,paint,10,0,28.1,35.2,0,midrange,possession_start,,,,15.0,15.0,false,,,,,
1,34.6,37.6,true,paint,10,0,28.5,35.0,0,midrange,dribble,,,,15.2,14.8,false,,,,,
2,35.0,37.3,true,paint,10,0,28.9,34.7,0,midrange,dribble,,,,15.5,14.5,false,,,,,
3,35.4,37.0,true,paint,10,0,29.3,34.4,0,midrange,dribble,,,,15.8,14.2,false,,,,,
4,35.8,36.7,true,paint,10,0,29.7,34.1,0,midrange,dribble,,,,16.0,14.0,false,,,,,
5,36.2,36.4,true,paint,10,0,30.1,33.8,0,midrange,dribble,,,,16.2,13.8,false,,,,,
6,36.6,36.1,true,paint,10,0,30.5,33.5,0,midrange,approach,,,,16.5,13.5,false,,,,,
7,37.0,35.8,true,paint,2,1,38.9,41.7,1,paint,deflection,,,,13.0,17.0,false,,,,,
8,37.4,35.5,true,paint,2,1,39.3,41.5,1,paint,dribble,,,,12.8,17.2,false,,,,,
9,37.8,35.2,true,paint,2,1,39.7,41.2,1,paint,dribble,,,,12.5,17.5,false,,,,,
10,38.2,34.9,true,paint,2,1,40.1,40.9,1,paint,dribble,,,,12.2,17.8,false,,,,,
11,38.6,34.6,true,paint,2,1,40.5,40.6,1,paint,dribble,,,,12.0,18.0,false,,,,,
12,39.0,34.3,true,paint,4,1,49.7,33.3,1,wing,pass,,,,11.5,18.5,false,,,,,
13,39.4,34.0,true,paint,4,1,50.1,33.0,1,wing,dribble,,,,11.2,18.8,false,,,,,
14,39.8,33.7,true,paint,4,1,50.5,32.7,1,wing,dribble,,,,11.0,19.0,false,,,,,
15,40.2,33.4,true,paint,4,1,50.9,32.4,1,wing,dribble,,,,10.8,19.2,false,,,,,
16,40.6,33.1,true,paint,4,1,51.3,32.1,1,wing,dribble,,,,10.5,19.5,false,,,,,
17,41.0,32.8,true,paint,4,1,50.9,32.4,1,wing,approach,,,,10.2,19.8,false,,,,,
18,40.6,33.0,true,paint,12,1,52.5,30.0,1,corner,pass,,,,10.0,20.0,false,,,,,
19,40.2,33.2,true,paint,12,1,52.9,29.7,1,corner,dribble,,,,9.8,20.2,false,,,,,
20,39.8,33.4,true,paint,12,1,53.3,29.4,1,corner,dribble,,,,9.5,20.5,false,,,,,
21,39.4,33.6,true,paint,12,1,53.7,29.1,1,corner,dribble,,,,9.2,20.8,false,,,,,
22,39.0,33.8,true,paint,12,1,54.1,28.8,1,corner,approach,,,,9.0,21.0,false,,,,,
23,38.6,34.0,true,paint,12,1,53.7,29.1,1,corner,approach,,,,8.8,21.2,false,,,,,
